Kanji,Hiragana,Romaji,English,Level,PronunciationURL,Topic,Part_of_Speech
生徒,せいと,seito,Pupil,N5,,General,General
,セーター,セーター,"sweater, jumper",N5,,General,General
,せっけん,sekken,Economy,N5,,General,General
背広,せびろ,sebiro,business suit,N5,,General,General
狭い,せまい,semai,Narrow,N5,,General,General
,ゼロ,ゼロ,Zero,N5,,General,General
千,せん,sen,Thousand,N5,,General,General
先月,せんげつ,sengetsu,last month,N5,,General,General
先週,せんしゅう,senshuu,last week,N5,,General,General
先生,せんせい,sensei,"teacher, doctor",N5,,General,General
洗濯,せんたく,sentaku,Washing,N5,,General,General
全部,ぜんぶ,zenbu,All,N5,,General,General
掃除,そうじする,soujisuru,"to clean, to sweep",N5,,General,General
,そうして/そして,soushite/soshite,And,N5,,General,General
,そこ,soko,that place,N5,,General,General
,そちら,sochira,over there,N5,,General,General
,そっち,socchi,over there,N5,,General,General
外,そと,soto,Outside,N5,,General,General
,その,sono,That,N5,,General,General
,そば,soba,"near, beside",N5,,General,General
空,そら,sora,Sky,N5,,General,General
,それ,sore,that,N5,,General,General
,それから,sorekara,after that,N5,,General,General
,それでは,soredeha,in that situation,N5,,General,General
大学,だいがく,daigaku,university,N5,,General,General
大使館,たいしかん,taishikan,embassy,N5,,General,General
大丈夫,だいじょうぶ,daijoubu,all right,N5,,General,General
大好き,だいすき,daisuki,to be very likeable,N5,,General,General
大切,たいせつ,taisetsu,important,N5,,General,General
台所,だいどころ,daidokoro,kitchen,N5,,General,General
,たいへん,taihen,very,N5,,General,General
高い,たかい,takai,"tall, expensive",N5,,General,General
,たくさん,takusan,many,N5,,General,General
,タクシー,タクシー,taxi,N5,,General,General
出す,だす,dasu,to put out,N5,,General,General
立つ,たつ,tatsu,to stand,N5,,General,General
,たて,tate,"length,height",N5,,General,General
建物,たてもの,tatemono,building,N5,,General,General
楽しい,たのしい,tanoshii,enjoyable,N5,,General,General
頼む,たのむ,tanomu,to ask,N5,,General,General
,たばこ,tabako,"tobacco,cigarettes",N5,,General,General
,たぶん,tabun,probably,N5,,General,General
食べ物,たべもの,tabemono,food,N5,,General,General
食べる,たべる,taberu,to eat,N5,,General,General
卵,たまご,tamago,egg,N5,,General,General
誰,だれ,dare,who,N5,,General,General
誰,だれか,dareka,somebody,N5,,General,General
誕生日,たんじょうび,tanjoubi,birthday,N5,,General,General
,だんだん,dandan,gradually,N5,,General,General
小さい,ちいさい,chiisai,little,N5,,General,General
小さな,ちいさな,chiisana,little,N5,,General,General
近い,ちかい,chikai,near,N5,,General,General
違う,ちがう,chigau,to differ,N5,,General,General
近く,ちかく,chikaku,near,N5,,General,General
地下鉄,ちかてつ,chikatetsu,underground train,N5,,General,General
地図,ちず,chizu,map,N5,,General,General
茶色,ちゃいろ,chairo,brown,N5,,General,General
,ちゃわん,chawan,rice bowl,N5,,General,General
,ちょうど,choudo,exactly,N5,,General,General
,ちょっと,chotto,somewhat,N5,,General,General
一日,ついたち,tsuitachi,first of month,N5,,General,General
使う,つかう,tsukau,to use,N5,,General,General
疲れる,つかれる,tsukareru,to get tired,N5,,General,General
次,つぎ,tsugi,next,N5,,General,General
着く,つく,tsuku,to arrive at,N5,,General,General
机,つくえ,tsukue,desk,N5,,General,General
作る,つくる,tsukuru,to make,N5,,General,General
,つける,tsukeru,to turn on,N5,,General,General
勤める,つとめる,tsutomeru,to work for someone,N5,,General,General
,つまらない,tsumaranai,boring,N5,,General,General
冷たい,つめたい,tsumetai,cold to the touch,N5,,General,General
強い,つよい,tsuyoi,powerful,N5,,General,General
手,て,te,hand,N5,,General,General
,テープ,テープ,tape,N5,,General,General
,テーブル,テーブル,table,N5,,General,General
,テープレコーダー,テープレコーダー,tape recorder,N5,,General,General
出かける,でかける,dekakeru,to go out,N5,,General,General
手紙,てがみ,tegami,letter,N5,,General,General
,できる,dekiru,to be able to,N5,,General,General
出口,でぐち,deguchi,exit,N5,,General,General
,テスト,テスト,test,N5,,General,General
,では,deha,with that...,N5,,General,General
,デパート,デパート,department store,N5,,General,General
,でも,demo,but,N5,,General,General
出る,でる,deru,"to appear,to leave",N5,,General,General
,テレビ,テレビ,television,N5,,General,General
天気,てんき,tenki,weather,N5,,General,General
電気,でんき,denki,"electricity,electric light",N5,,General,General
電車,でんしゃ,densha,electric train,N5,,General,General
電話,でんわ,denwa,telephone,N5,,General,General
戸,と,to,Japanese style door,N5,,General,General
,ドア,ドア,Western style door,N5,,General,General
,トイレ,トイレ,toilet,N5,,General,General
,どう,dou,"how,in what way",N5,,General,General
,どうして,doushite,for what reason,N5,,General,General
,どうぞ,douzo,please,N5,,General,General
動物,どうぶつ,doubutsu,animal,N5,,General,General
,どうも,doumo,thanks,N5,,General,General
遠い,とおい,tooi,far,N5,,General,General
十日,とおか,tooka,"ten days,the tenth day",N5,,General,General
時々,ときどき,tokidoki,sometimes,N5,,General,General
時計,とけい,tokei,"watch,clock",N5,,General,General
,どこ,doko,where,N5,,General,General
所,ところ,tokoro,place,N5,,General,General
年,とし,toshi,year,N5,,General,General
図書館,としょかん,toshokan,library,N5,,General,General
,どちら,dochira,which of two,N5,,General,General
,どっち,docchi,which,N5,,General,General
,とても,totemo,very,N5,,General,General
,どなた,donata,who,N5,,General,General
隣,となり,tonari,next door to,N5,,General,General
,どの,dono,which,N5,,General,General
飛ぶ,とぶ,tobu,"to fly,to hop",N5,,General,General
止まる,とまる,tomaru,to come to a halt,N5,,General,General
友達,ともだち,tomodachi,friend,N5,,General,General
土曜日,どようび,doyoubi,Saturday,N5,,General,General
鳥,とり,tori,bird,N5,,General,General
とり肉,とりにく,toriniku,chicken meat,N5,,General,General
取る,とる,toru,to take something,N5,,General,General
撮る,とる,toru,to take a photo or record a film,N5,,General,General
,どれ,dore,which (of three or more),N5,,General,General
,ナイフ,ナイフ,knife,N5,,General,General
中,なか,naka,middle,N5,,General,General
長い,ながい,nagai,long,N5,,General,General
鳴く,なく,naku,"animal noise. to chirp, roar or croak etc.",N5,,General,General
無くす,なくす,nakusu,to lose something,N5,,General,General
,なぜ,naze,why,N5,,General,General
夏,なつ,natsu,summer,N5,,General,General
夏休み,なつやすみ,natsuyasumi,summer holiday,N5,,General,General
,など,nado,et cetera,N5,,General,General
七つ,ななつ,nanatsu,seven,N5,,General,General
七日,なのか,nanoka,"seven days,the seventh day",N5,,General,General
名前,なまえ,namae,name,N5,,General,General
習う,ならう,narau,to learn,N5,,General,General
並ぶ,ならぶ,narabu,"to line up,to stand in a line",N5,,General,General
並べる,ならべる,naraberu,"to line up,to set up",N5,,General,General
,なる,naru,to become,N5,,General,General
何,なん/なに,nan/nani,what,N5,,General,General
二,に,ni,two,N5,,General,General
賑やか,にぎやか,nigiyaka,"bustling,busy",N5,,General,General
肉,にく,niku,meat,N5,,General,General
西,にし,nishi,west,N5,,General,General
日曜日,にちようび,nichiyoubi,Sunday,N5,,General,General
荷物,にもつ,nimotsu,luggage,N5,,General,General
,ニュース,ニュース,news,N5,,General,General
庭,にわ,niwa,garden,N5,,General,General
脱ぐ,ぬぐ,nugu,to take off clothes,N5,,General,General
温い,ぬるい,nurui,luke warm,N5,,General,General
,ネクタイ,ネクタイ,"tie,necktie",N5,,General,General
猫,ねこ,neko,cat,N5,,General,General
寝る,ねる,neru,"to go to bed,to sleep",N5,,General,General
,ノート,ノート,"notebook,exercise book",N5,,General,General
登る,のぼる,noboru,to climb,N5,,General,General
飲み物,のみもの,nomimono,a drink,N5,,General,General
飲む,のむ,nomu,to drink,N5,,General,General
乗る,のる,noru,"to get on,to ride",N5,,General,General
歯,は,ha,tooth,N5,,General,General
,パーティー,パーティー,party,N5,,General,General
,はい,hai,yes,N5,,General,General
灰皿,はいざら,haizara,ashtray,N5,,General,General
入る,はいる,hairu,"to enter,to contain",N5,,General,General
葉書,はがき,hagaki,postcard,N5,,General,General
,はく,haku,"to wear,to put on trousers",N5,,General,General
箱,はこ,hako,box,N5,,General,General
橋,はし,hashi,bridge,N5,,General,General
,はし,hashi,chopsticks,N5,,General,General
始まる,はじまる,hajimaru,to begin,N5,,General,General
初め/始め,はじめ,hajime,beginning,N5,,General,General
初めて,はじめて,hajimete,for the first time,N5,,General,General
走る,はしる,hashiru,to run,N5,,General,General
,バス,バス,bus,N5,,General,General
,バター,バター,butter,N5,,General,General
二十歳,はたち,hatachi,"20 years old,20th year",N5,,General,General
働く,はたらく,hataraku,to work,N5,,General,General
八,はち,hachi,eight,N5,,General,General
二十日,はつか,hatsuka,"twenty days,twentieth",N5,,General,General
花,はな,hana,flower,N5,,General,General
鼻,はな,hana,nose,N5,,General,General
話,はなし,hanashi,"talk,story",N5,,General,General
話す,はなす,hanasu,to speak,N5,,General,General
早い,はやい,hayai,early,N5,,General,General
速い,はやい,hayai,quick,N5,,General,General
春,はる,haru,spring,N5,,General,General
貼る,はる,haru,to stick,N5,,General,General
晴れ,はれ,hare,clear weather,N5,,General,General
晴れる,はれる,hareru,to be sunny,N5,,General,General
半,はん,han,half,N5,,General,General
晩,ばん,ban,evening,N5,,General,General
,パン,パン,bread,N5,,General,General
,ハンカチ,ハンカチ,handkerchief,N5,,General,General
番号,ばんごう,bangou,number,N5,,General,General
晩御飯,ばんごはん,bangohan,evening meal,N5,,General,General
半分,はんぶん,hanbun,half minute,N5,,General,General
東,ひがし,higashi,east,N5,,General,General
引く,ひく,hiku,to pull,N5,,General,General
弾く,ひく,hiku,"to play an instrument with strings, including piano",N5,,General,General
低い,ひくい,hikui,"short,low",N5,,General,General
飛行機,ひこうき,hikouki,aeroplane,N5,,General,General
左,ひだり,hidari,left hand side,N5,,General,General
人,ひと,hito,person,N5,,General,General
一つ,ひとつ,hitotsu,one,N5,,General,General
一月,ひとつき,hitotsuki,one month,N5,,General,General
一人,ひとり,hitori,one person,N5,,General,General
暇,ひま,hima,free time,N5,,General,General
百,ひゃく,hyaku,hundred,N5,,General,General
病院,びょういん,byouin,hospital,N5,,General,General
病気,びょうき,byouki,illness,N5,,General,General
昼,ひる,hiru,"noon, daytime",N5,,General,General
昼御飯,ひるごはん,hirugohan,midday meal,N5,,General,General
広い,ひろい,hiroi,"spacious,wide",N5,,General,General
,フィルム,フィルム,roll of film,N5,,General,General
封筒,ふうとう,fuutou,envelope,N5,,General,General
,プール,プール,swimming pool,N5,,General,General
,フォーク,フォーク,fork,N5,,General,General
吹く,ふく,fuku,to blow,N5,,General,General
服,ふく,fuku,clothes,N5,,General,General
二つ,ふたつ,futatsu,two,N5,,General,General
豚肉,ぶたにく,butaniku,pork,N5,,General,General
二人,ふたり,futari,two people,N5,,General,General
二日,ふつか,futsuka,"two days, second day of the month",N5,,General,General
太い,ふとい,futoi,fat,N5,,General,General
冬,ふゆ,fuyu,winter,N5,,General,General
降る,ふる,furu,"to fall, e.g. rain or snow",N5,,General,General
古い,ふるい,furui,old (not used for people),N5,,General,General
,ふろ,furo,bath,N5,,General,General
文章,ぶんしょう,bunshou,"sentence,text",N5,,General,General
,ページ,ページ,page,N5,,General,General
下手,へた,heta,unskillful,N5,,General,General
,ベッド,ベッド,bed,N5,,General,General
,ペット,ペット,pet,N5,,General,General
部屋,へや,heya,room,N5,,General,General
辺,へん,hen,area,N5,,General,General
,ペン,ペン,pen,N5,,General,General
勉強,べんきょうする,benkyousuru,to study,N5,,General,General
便利,べんり,benri,"useful, convenient",N5,,General,General
帽子,ぼうし,boushi,hat,N5,,General,General
,ボールペン,ボールペン,ball-point pen,N5,,General,General
,ほか,hoka,"other, the rest",N5,,General,General
,ポケット,ポケット,pocket,N5,,General,General
欲しい,ほしい,hoshii,want,N5,,General,General
,ポスト,ポスト,post,N5,,General,General
細い,ほそい,hosoi,thin,N5,,General,General
,ボタン,ボタン,button,N5,,General,General
